,0
1231,-31.621983152802933
1232,-16.93572435768783
1233,-10.51471505762848
1234,-16.24890828735085
1235,-13.509773574259846
1236,-4.9120003637525205
1237,-13.462781786238278
1238,-12.450955059977218
1239,-12.517192040205767
1240,-12.586462911807534
1241,13.507942524338247
1242,4.218327903959569
1243,9.695924672978517
1244,3.8248952748341907
1245,3.8116426467377575
1246,-11.697208823976897
1247,10.048007902277394
1248,4.75649870959319
1249,-5.455539065856742
1250,9.944953464703623
1251,-1.9887026980082645
1252,-4.007313039199042
1253,-15.071163077184364
1254,9.733843147909301
1255,6.1227333915648225
1256,15.58813134639908
1257,25.574248329540918
1258,28.553020004124487
1259,15.652454788386724
1260,17.706667454485675
1261,5.478922182533367
1262,-1.046384289928346
1263,13.358977247627767
1264,19.30268363826518
1265,-1.9513910485988841
1266,-0.38406726190116025
1267,24.179727108070608
1268,24.947338816431383
1269,26.35033798687914
1270,25.705594927006274
1271,20.642811902326343
1272,-11.093055209503216
1273,-8.062647943896845
1274,5.129586524740525
1275,-4.457886600651375
1276,4.769631092483163
1277,11.481006424076693
1278,35.14140477132882
1279,37.9915760482447
1280,37.36657410193386
1281,46.23384226835318
1282,41.10581070623119
1283,19.450904887332456
1284,14.51040878217411
